year_month,ticker,trading_days,avg_daily_return,compound_monthly_return
2022-01,AAPL,19,-0.001912,-0.039722
2022-02,AAPL,19,-0.002813,-0.054064
2022-03,AAPL,23,0.002622,0.057475
2022-04,AAPL,20,-0.004878,-0.097131
2022-05,AAPL,21,-0.0022,-0.054495
2022-06,AAPL,21,-0.003753,-0.081428
2022-07,AAPL,20,0.008792,0.188635
2022-08,AAPL,23,-0.001252,-0.031207
2022-09,AAPL,21,-0.005864,-0.120976
2022-10,AAPL,21,0.005297,0.109551
2022-11,AAPL,21,-0.001179,-0.033028
2022-12,AAPL,21,-0.006033,-0.122272
2023-01,AAPL,20,0.005381,0.110523
2023-02,AAPL,19,0.001336,0.023184
2023-03,AAPL,23,0.004977,0.118651
2023-04,AAPL,19,0.00158,0.028987
2023-05,AAPL,22,0.002124,0.04606
2023-06,AAPL,21,0.004345,0.094329
2023-07,AAPL,20,0.000664,0.012785
2023-08,AAPL,23,-0.001754,-0.042386
2023-09,AAPL,20,-0.004534,-0.088677
2023-10,AAPL,22,-6.6e-05,-0.002573
2023-11,AAPL,21,0.005188,0.11378
2023-12,AAPL,20,0.000714,0.013581
2024-01,AAPL,21,-0.001943,-0.04223
2024-02,AAPL,20,-0.000907,-0.018543
2024-03,AAPL,20,-0.002509,-0.051287
2024-04,AAPL,22,-0.000201,-0.006706
2024-05,AAPL,22,0.005692,0.130222
2024-06,AAPL,19,0.005025,0.095551
2024-07,AAPL,22,0.002526,0.054409
2024-08,AAPL,22,0.001549,0.032352
2024-09,AAPL,20,0.00097,0.017468
2024-10,AAPL,23,-0.001259,-0.030429
2024-11,AAPL,20,0.002567,0.051705
2024-12,AAPL,21,0.00261,0.055155
2025-01,AAPL,20,-0.002785,-0.057583
2025-02,AAPL,19,0.001473,0.025871
2025-03,AAPL,21,-0.003861,-0.081499
2025-04,AAPL,21,-0.000962,-0.043354
2025-05,AAPL,21,-0.002409,-0.053584
2025-06,AAPL,20,0.001127,0.021508
2025-07,AAPL,22,0.000568,0.011697
2025-08,AAPL,21,0.005552,0.119637
2025-09,AAPL,21,0.004568,0.096883
2025-10,AAPL,23,0.00271,0.061816
2025-11,AAPL,19,0.001721,0.032363
2025-12,AAPL,22,-0.001127,-0.025068
2026-01,AAPL,20,-0.002251,-0.045536
2026-02,AAPL,19,0.001224,0.019065
2026-03,AAPL,22,-0.001754,-0.03933
2026-04,AAPL,7,0.003796,0.02636
2022-01,AMZN,19,-0.006575,-0.122244
2022-02,AMZN,19,0.002179,0.026673
2022-03,AMZN,23,0.002919,0.061437
2022-04,AMZN,20,-0.012672,-0.237525
2022-05,AMZN,21,-0.00093,-0.032765
2022-06,AMZN,21,-0.005356,-0.11646
2022-07,AMZN,20,0.012585,0.270594
2022-08,AMZN,23,-0.002493,-0.060615
2022-09,AMZN,21,-0.005167,-0.10862
2022-10,AMZN,21,-0.004146,-0.093451
2022-11,AMZN,21,-0.002143,-0.057594
2022-12,AMZN,21,-0.006392,-0.129894
2023-01,AMZN,20,0.010565,0.227736
2023-02,AMZN,19,-0.004299,-0.086299
2023-03,AMZN,23,0.004164,0.096147
2023-04,AMZN,19,0.001379,0.020912
2023-05,AMZN,22,0.006268,0.143483
2023-06,AMZN,21,0.003875,0.081108
2023-07,AMZN,20,0.001388,0.025468
2023-08,AMZN,23,0.001629,0.03239
2023-09,AMZN,20,-0.003906,-0.078908
2023-10,AMZN,22,0.002422,0.046962
2023-11,AMZN,21,0.004531,0.097678
2023-12,AMZN,20,0.002033,0.040046
2024-01,AMZN,21,0.001104,0.021456
2024-02,AMZN,20,0.006763,0.138917
2024-03,AMZN,20,0.001086,0.020479
2024-04,AMZN,22,-0.001241,-0.029826
2024-05,AMZN,22,0.000439,0.008228
2024-06,AMZN,19,0.004913,0.095274
2024-07,AMZN,22,-0.001378,-0.032443
2024-08,AMZN,22,-0.00176,-0.045354
2024-09,AMZN,20,0.00229,0.043864
2024-10,AMZN,23,0.000119,0.000373
2024-11,AMZN,20,0.005732,0.115288
2024-12,AMZN,21,0.002713,0.055318
2025-01,AMZN,20,0.004103,0.083367
2025-02,AMZN,19,-0.005791,-0.106867
2025-03,AMZN,21,-0.004986,-0.103731
2025-04,AMZN,21,-0.00064,-0.030696
2025-05,AMZN,21,0.005286,0.111647
2025-06,AMZN,20,0.0035,0.070142
2025-07,AMZN,22,0.003004,0.067095
2025-08,AMZN,21,-0.000765,-0.021827
2025-09,AMZN,21,-0.001863,-0.041178
2025-10,AMZN,23,0.004964,0.112264
2025-11,AMZN,19,-0.002202,-0.045042
2025-12,AMZN,22,-0.000417,-0.010292
2026-01,AMZN,20,0.00196,0.036737
2026-02,AMZN,19,-0.006626,-0.122439
2026-03,AMZN,22,-0.000176,-0.008238
2026-04,AMZN,7,0.019647,0.144572
2022-01,GOOGL,19,-0.003457,-0.066818
2022-02,GOOGL,19,0.000255,-0.001821
2022-03,GOOGL,23,0.001485,0.029695
2022-04,GOOGL,20,-0.009555,-0.179468
2022-05,GOOGL,21,0.000195,-0.003048
2022-06,GOOGL,21,-0.001722,-0.042187
2022-07,GOOGL,20,0.003705,0.067519
2022-08,GOOGL,23,-0.002972,-0.069636
2022-09,GOOGL,21,-0.005676,-0.116151
2022-10,GOOGL,21,-0.000149,-0.011917
2022-11,GOOGL,21,0.003616,0.068564
2022-12,GOOGL,21,-0.006269,-0.126347
2023-01,GOOGL,20,0.005901,0.120254
2023-02,GOOGL,19,-0.004399,-0.08883
2023-03,GOOGL,23,0.006345,0.151789
2023-04,GOOGL,19,0.00195,0.034802
2023-05,GOOGL,22,0.006303,0.144681
2023-06,GOOGL,21,-0.001135,-0.025799
2023-07,GOOGL,20,0.005374,0.10877
2023-08,GOOGL,23,0.001212,0.025995
2023-09,GOOGL,20,-0.001909,-0.038995
2023-10,GOOGL,22,-0.002103,-0.05181
2023-11,GOOGL,21,0.003205,0.0681
2023-12,GOOGL,20,0.002754,0.054024
2024-01,GOOGL,21,0.00035,0.002934
2024-02,GOOGL,20,-0.000468,-0.011705
2024-03,GOOGL,20,0.004448,0.090062
2024-04,GOOGL,22,0.003789,0.078518
2024-05,GOOGL,22,0.002689,0.059714
2024-06,GOOGL,19,0.002989,0.057152
2024-07,GOOGL,22,-0.002565,-0.05825
2024-08,GOOGL,22,-0.002096,-0.047569
2024-09,GOOGL,20,0.000947,0.016468
2024-10,GOOGL,23,0.001433,0.031716
2024-11,GOOGL,20,-0.000456,-0.012622
2024-12,GOOGL,21,0.005727,0.121733
2025-01,GOOGL,20,0.003892,0.07776
2025-02,GOOGL,19,-0.009247,-0.165377
2025-03,GOOGL,21,-0.004287,-0.090803
2025-04,GOOGL,21,0.001699,0.026901
2025-05,GOOGL,21,0.004007,0.081484
2025-06,GOOGL,20,0.001505,0.027384
2025-07,GOOGL,22,0.003942,0.08892
2025-08,GOOGL,21,0.00504,0.109482
2025-09,GOOGL,21,0.006631,0.142816
2025-10,GOOGL,23,0.006485,0.156684
2025-11,GOOGL,19,0.007142,0.138662
2025-12,GOOGL,22,-0.000909,-0.021785
2026-01,GOOGL,20,0.003911,0.079873
2026-02,GOOGL,19,-0.004122,-0.077633
2026-03,GOOGL,22,-0.003451,-0.076976
2026-04,GOOGL,7,0.014261,0.103214
2022-01,MSFT,19,-0.003676,-0.071008
2022-02,MSFT,19,-0.001759,-0.037211
2022-03,MSFT,23,0.001573,0.031861
2022-04,MSFT,20,-0.00494,-0.099868
2022-05,MSFT,21,-0.000583,-0.01808
2022-06,MSFT,21,-0.002459,-0.055322
2022-07,MSFT,20,0.004691,0.093099
2022-08,MSFT,23,-0.002889,-0.066662
2022-09,MSFT,21,-0.005348,-0.109265
2022-10,MSFT,21,0.000297,-0.003307
2022-11,MSFT,21,0.005024,0.102224
2022-12,MSFT,21,-0.002817,-0.060046
2023-01,MSFT,20,0.001841,0.033315
2023-02,MSFT,19,0.000686,0.009018
2023-03,MSFT,23,0.006443,0.15588
2023-04,MSFT,19,0.003587,0.065764
2023-05,MSFT,22,0.003203,0.071105
2023-06,MSFT,21,0.001844,0.036999
2023-07,MSFT,20,-0.000529,-0.013568
2023-08,MSFT,23,-0.00092,-0.022226
2023-09,MSFT,20,-0.001796,-0.036644
2023-10,MSFT,22,0.003242,0.070815
2023-11,MSFT,21,0.005602,0.122944
2023-12,MSFT,20,-0.00034,-0.007575
2024-01,MSFT,21,0.002712,0.057282
2024-02,MSFT,20,0.002149,0.042322
2024-03,MSFT,20,0.000936,0.017115
2024-04,MSFT,22,-0.003428,-0.07461
2024-05,MSFT,22,0.003069,0.068192
2024-06,MSFT,19,0.003928,0.076649
2024-07,MSFT,22,-0.002898,-0.063989
2024-08,MSFT,22,2.2e-05,-0.001096
2024-09,MSFT,20,0.001618,0.031548
2024-10,MSFT,23,-0.002366,-0.055657
2024-11,MSFT,20,0.00223,0.044194
2024-12,MSFT,21,-0.000146,-0.004629
2025-01,MSFT,20,-0.000556,-0.015277
2025-02,MSFT,19,-0.002188,-0.041617
2025-03,MSFT,21,-0.002537,-0.054409
2025-04,MSFT,21,0.002864,0.052932
2025-05,MSFT,21,0.007535,0.166841
2025-06,MSFT,20,0.003898,0.080479
2025-07,MSFT,22,0.003241,0.072556
2025-08,MSFT,21,-0.002326,-0.04869
2025-09,MSFT,21,0.001095,0.022223
2025-10,MSFT,23,5.4e-05,-0.00027
2025-11,MSFT,19,-0.002503,-0.048046
2025-12,MSFT,22,-0.000724,-0.017053
2026-01,MSFT,20,-0.005466,-0.110272
2026-02,MSFT,19,-0.004468,-0.085185
2026-03,MSFT,22,-0.002589,-0.057469
2026-04,MSFT,7,0.000285,0.001892
2022-01,NVDA,19,-0.01026,-0.187078
2022-02,NVDA,19,0.00073,-0.004126
2022-03,NVDA,23,0.005825,0.119157
2022-04,NVDA,20,-0.018404,-0.320274
2022-05,NVDA,21,0.00155,0.006738
2022-06,NVDA,21,-0.009116,-0.187969
2022-07,NVDA,20,0.009596,0.198159
2022-08,NVDA,23,-0.007372,-0.168966
2022-09,NVDA,21,-0.009761,-0.195537
2022-10,NVDA,21,0.005723,0.111868
2022-11,NVDA,21,0.011771,0.254161
2022-12,NVDA,21,-0.006407,-0.136443
2023-01,NVDA,20,0.015198,0.336868
2023-02,NVDA,19,0.010059,0.188308
2023-03,NVDA,23,0.008075,0.196664
2023-04,NVDA,19,0.000105,-0.001006
2023-05,NVDA,22,0.015584,0.363435
2023-06,NVDA,21,0.005656,0.118211
2023-07,NVDA,20,0.005168,0.104651
2023-08,NVDA,23,0.002874,0.056199
2023-09,NVDA,20,-0.006154,-0.118577
2023-10,NVDA,22,-0.002617,-0.062508
2023-11,NVDA,21,0.006722,0.146884
2023-12,NVDA,20,0.003009,0.058935
2024-01,NVDA,21,0.010599,0.242421
2024-02,NVDA,20,0.01347,0.285811
2024-03,NVDA,20,0.007104,0.142183
2024-04,NVDA,22,-0.001398,-0.043758
2024-05,NVDA,22,0.01136,0.268872
2024-06,NVDA,19,0.006844,0.126945
2024-07,NVDA,22,-0.001512,-0.052776
2024-08,NVDA,22,0.001726,0.020081
2024-09,NVDA,20,0.00149,0.017426
2024-10,NVDA,23,0.004189,0.093213
2024-11,NVDA,20,0.002312,0.041352
2024-12,NVDA,21,-0.001172,-0.028577
2025-01,NVDA,20,-0.004133,-0.105891
2025-02,NVDA,19,0.002647,0.040391
2025-03,NVDA,21,-0.006068,-0.132326
2025-04,NVDA,21,0.001738,0.004983
2025-05,NVDA,21,0.010589,0.240637
2025-06,NVDA,20,0.00796,0.169252
2025-07,NVDA,22,0.005533,0.12583
2025-08,NVDA,21,-0.00087,-0.020747
2025-09,NVDA,21,0.003481,0.071254
2025-10,NVDA,23,0.003812,0.085271
2025-11,NVDA,19,-0.006708,-0.125882
2025-12,NVDA,22,0.002549,0.053732
2026-01,NVDA,20,0.001353,0.024826
2026-02,NVDA,19,-0.003561,-0.072935
2026-03,NVDA,22,-0.00046,-0.015693
2026-04,NVDA,7,0.011305,0.081595
